minimum                  3.519000000000000000e+03 [ pix 333900 ]
maximum                  1.638300000000000000e+04 [ pix 381005 ]
total                    3.092250773400000000e+10
rms                      1.596548377527690120e+07
rms per pixel            8.201172419200856893e+03
mean                     8.159478947639233411e+03
photocenterX             1.184330931137475318e+03
photocenterY             8.005859652748046074e+02
percentile01             6.182000000000000000e+03
percentile05             6.730000000000000000e+03
percentile10             7.046000000000000000e+03
percentile20             7.417000000000000000e+03
percentile50             8.213000000000000000e+03
percentile80             8.946000000000000000e+03
percentile90             9.212000000000000000e+03
percentile95             9.365000000000000000e+03
percentile99             9.557000000000000000e+03
percentile995            9.617000000000000000e+03
percentile998            9.700000000000000000e+03
percentile999            9.803000000000000000e+03
