minimum                  3.198000000000000000e+03 [ pix 3622815 ]
maximum                  1.638300000000000000e+04 [ pix 378620 ]
total                    2.667425198600000000e+10
rms                      1.377547884859009087e+07
rms per pixel            7.076207572819535926e+03
mean                     7.038497634022161947e+03
photocenterX             1.183943941118844350e+03
photocenterY             8.020292292929304949e+02
percentile01             5.331000000000000000e+03
percentile05             5.787000000000000000e+03
percentile10             6.056000000000000000e+03
percentile20             6.382000000000000000e+03
percentile50             7.088000000000000000e+03
percentile80             7.727000000000000000e+03
percentile90             7.956000000000000000e+03
percentile95             8.089000000000000000e+03
percentile99             8.272000000000000000e+03
percentile995            8.335000000000000000e+03
percentile998            8.441000000000000000e+03
percentile999            8.732000000000000000e+03
