minimum                  2.232000000000000000e+03 [ pix 2666430 ]
maximum                  1.638300000000000000e+04 [ pix 378621 ]
total                    1.433635287200000000e+10
rms                      7.395833763558981009e+06
rms per pixel            3.799102409450315463e+03
mean                     3.782913418642052875e+03
photocenterX             1.182219418131939619e+03
photocenterY             8.006038510140823519e+02
percentile01             2.973000000000000000e+03
percentile05             3.194000000000000000e+03
percentile10             3.324000000000000000e+03
percentile20             3.478000000000000000e+03
percentile50             3.800000000000000000e+03
percentile80             4.102000000000000000e+03
percentile90             4.216000000000000000e+03
percentile95             4.284000000000000000e+03
percentile99             4.385000000000000000e+03
percentile995            4.424000000000000000e+03
percentile998            4.495000000000000000e+03
percentile999            4.699000000000000000e+03
